Статус оповещения;Перегон;Продолжительность;Признак вины сторонней организации;Признак вины сервисной организации;Предприятие сторон. организаций;Предприятие сервис. организаций;Серия отказавшего локомотива;Бортовой номер отказавшего локомотива;Категория отказа;ОТС 1 уровня;ОТС 3 уровня;ID отказа;Начало отказа;Группа причин;ОТС 2 уровня;Вид следования отказавшего локомотива;теп / эле;месяц;дат;ден
расследован;ШУБИНО-НОВОСОКОЛЬНИКИ;2;нет;есть;;;2ТЭ116К;631;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Аккумуляторная батарея;11613744;07.01.2021 07:48;Неисправность аккумуляторной батареи;Аккумулятор;грузовое;тепловозы;1;07.01.2021;7
расследован;ВЕЙМАРН;70;нет;есть;;;ВЛ10У;483;1 категория;Вспомогательные электрические машины локомотива  МВПС;Щеточный аппарат электродвигателя постоянного тока;11613908;07.01.2021 11:00;Неисправность щеточного аппарата электродвигателя постоянного тока;Электродвигатель постоянного тока;грузовое;электровозы;1;07.01.2021;7
расследован;ЗАБОРЬЕ-ВЕРХНЕВОЛЬСКИЙ;14;нет;есть;;;ВЛ15С;28;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Контактор цепей управления главного контроллера;11614164;07.01.2021 18:12;Неисправность контактора цепей управления главного контроллера;Главный контроллер;грузовое;электровозы;1;07.01.2021;7
расследован;НОВОСОКОЛЬНИКИ;42;нет;есть;;;2ТЭ116;1407;2 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Плавкая вставка предохранителя  панели предохранителей;11614205;07.01.2021 19:50;Неисправность плавкой вставки предохранителя  панели предохранителей;Плавкий предохранитель  панель предохранителей;грузовое;тепловозы;1;07.01.2021;7
расследован;МОСТОВАЯ-ПАНИКЛЯ;14;нет;есть;;;2ТЭ116У;294;2 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Контактор кулачковый блокировочного устройства;11614236;07.01.2021 21:02;Неисправность контактора кулачкового блокировочного устройства;Блокировочное устройство;грузовое;тепловозы;1;07.01.2021;7
расследован;СЕБЕЖ;5;нет;нет;;;2ТЭ116У;182;3 категория;Дизель и дизельное оборудование локомотива  МВПС;Трубопровод системы подачи топлива;11614252;07.01.2021 22:00;Неисправность трубопроводов системы подачи топлива;Система подачи топлива;грузовое;тепловозы;1;07.01.2021;7
расследован;ПОДСОСЕНКА;93;нет;есть;;;2ТЭ116;1433;1 категория;Дизель и дизельное оборудование локомотива  МВПС;Втулка цилиндра дизеля;11614312;07.01.2021 21:35;Неисправность втулки цилиндров дизеля;Остов дизеля;грузовое;тепловозы;1;07.01.2021;7
расследован;ВЕЙМАРН;3;нет;есть;;;ВЛ10У;739;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Силовые контакты электромагнитного контактора вспомогательных цепей и цепей управления;11614316;08.01.2021 00:58;Неисправность силовых контактов электромагнитного контактора вспомогательных цепей и цепей управления;Контактор электромагнитный вспомогательных цепей и цепей управления;грузовое;электровозы;1;08.01.2021;8
расследован;БОЛОГОЕ-МОСК;10;есть;нет;без клейма;;2ТЭ25КМ;451;1 категория;Дизель и дизельное оборудование локомотива  МВПС;Трубопровод системы подачи масла;11614565;08.01.2021 06:30;Неисправность трубопровода системы подачи масла;Система подачи масла;грузовое;тепловозы;1;08.01.2021;8
расследован;СОНКОВО;46;есть;нет;без клейма;;2ТЭ25КМ;325;2 категория;Дизель и дизельное оборудование локомотива  МВПС;Сальник водяного насоса охлаждения дизеля;11614905;08.01.2021 09:30;Неисправность сальника водяного насоса охлаждения дизеля;Водяной насос охлаждения дизеля;передаточно-вывозное;тепловозы;1;08.01.2021;8
расследован;СПБ-СОРТ-МОСК;10;нет;есть;;;ВЛ10У;671;3 категория;Тормозное и пневматическое оборудование локомотива  МВПС;Тарельчатый клапан предохранительного клапана;11615418;08.01.2021 12:01;Неисправность тарельчатого клапана предохранительного клапана;Предохранительный клапан;грузовое;электровозы;1;08.01.2021;8
расследован;БЕРЕЗКИ;11;есть;нет;без клейма;;2ТЭ116;879;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Провода  кабели низковольтных цепей и цепей управления;11615632;08.01.2021 17:13;Неисправность провода  кабеля низковольтных цепей и цепей управления;Провода  кабели низковольтных цепей и цепей управления;грузовое;тепловозы;1;08.01.2021;8
